order_id,user_id,status,gender,created_at,returned_at,shipped_at,delivered_at,num_of_item,is_cancelled,delivery_duration_days
4,6,Cancelled,F,2025-01-31 18:39:00,,,,1,True,
18,17,Cancelled,F,2022-04-04 13:26:00,,,,3,True,
25,23,Cancelled,F,2025-03-20 16:05:00,,,,1,True,
26,23,Cancelled,F,2025-03-06 16:05:00,,,,1,True,
70,64,Cancelled,F,2024-09-30 09:15:00,,,,1,True,
78,69,Cancelled,F,2024-05-02 18:47:00,,,,2,True,
110,96,Cancelled,F,2024-10-24 00:13:00,,,,1,True,
124,105,Cancelled,F,2024-08-27 17:35:00,,,,1,True,
138,118,Cancelled,F,2024-05-09 13:19:00,,,,2,True,
172,149,Cancelled,F,2025-05-12 09:45:00,,,,4,True,
187,160,Cancelled,F,2024-01-09 06:21:00,,,,1,True,
190,162,Cancelled,F,2025-04-24 16:12:00,,,,1,True,
204,172,Cancelled,F,2023-12-28 11:01:00,,,,1,True,
205,172,Cancelled,F,2024-01-06 11:01:00,,,,2,True,
211,175,Cancelled,F,2023-04-10 01:53:00,,,,1,True,
218,179,Cancelled,F,2024-03-18 10:45:00,,,,4,True,
226,185,Cancelled,F,2023-08-12 00:29:00,,,,3,True,
255,217,Cancelled,F,2022-09-16 05:43:00,,,,1,True,
269,223,Cancelled,F,2024-04-06 09:44:00,,,,4,True,
272,226,Cancelled,F,2023-01-24 01:37:00,,,,1,True,
277,229,Cancelled,F,2023-06-11 00:26:00,,,,1,True,
292,239,Cancelled,F,2022-05-21 11:22:00,,,,1,True,
301,250,Cancelled,F,2021-08-07 17:02:00,,,,3,True,
323,266,Cancelled,F,2025-01-28 13:32:00,,,,1,True,
338,279,Cancelled,F,2020-10-15 09:06:00,,,,2,True,
342,281,Cancelled,F,2024-05-24 17:41:00,,,,2,True,
362,302,Cancelled,F,2024-07-26 00:23:00,,,,3,True,
365,303,Cancelled,F,2024-02-01 08:28:00,,,,1,True,
399,327,Cancelled,F,2025-02-05 05:17:00,,,,1,True,
422,344,Cancelled,F,2025-02-12 00:25:00,,,,1,True,
452,367,Cancelled,F,2022-05-22 06:14:00,,,,3,True,
453,368,Cancelled,F,2020-01-20 09:23:00,,,,1,True,
461,375,Cancelled,F,2022-05-07 06:55:00,,,,1,True,
476,381,Cancelled,F,2024-10-17 11:39:00,,,,1,True,
480,382,Cancelled,F,2025-02-24 02:15:00,,,,1,True,
522,424,Cancelled,F,2023-05-14 11:07:00,,,,1,True,
530,429,Cancelled,F,2023-06-18 04:45:00,,,,1,True,
583,474,Cancelled,F,2024-11-14 12:57:00,,,,1,True,
588,478,Cancelled,F,2024-11-28 18:42:00,,,,1,True,
593,484,Cancelled,F,2024-05-11 09:10:00,,,,2,True,
596,485,Cancelled,F,2025-01-18 07:39:00,,,,1,True,
597,485,Cancelled,F,2024-03-30 07:39:00,,,,1,True,
600,486,Cancelled,F,2023-03-30 18:59:00,,,,1,True,
602,486,Cancelled,F,2025-05-21 18:59:00,,,,1,True,
603,486,Cancelled,F,2023-01-07 18:59:00,,,,1,True,
605,488,Cancelled,F,2025-01-19 16:02:00,,,,1,True,
618,497,Cancelled,F,2024-01-24 09:55:00,,,,2,True,
634,507,Cancelled,F,2025-04-14 04:11:00,,,,1,True,
