order_id,user_id,status,gender,created_at,returned_at,shipped_at,delivered_at,num_of_item
28,24,Complete,F,2024-12-28 01:31:00+00:00,,2024-12-28 14:54:00+00:00,2024-12-31 20:36:00+00:00,1
33,28,Complete,F,2022-09-13 10:08:00+00:00,,2022-09-13 12:49:00+00:00,2022-09-15 01:25:00+00:00,1
45,40,Complete,F,2022-07-02 10:54:00+00:00,,2022-07-04 12:27:00+00:00,2022-07-08 02:12:00+00:00,3
48,43,Complete,F,2025-01-10 18:34:00+00:00,,2025-01-12 10:41:00+00:00,2025-01-13 18:35:00+00:00,1
101,88,Complete,F,2025-02-15 11:06:00+00:00,,2025-02-17 19:05:00+00:00,2025-02-20 14:48:00+00:00,1
108,94,Complete,F,2023-11-25 00:44:00+00:00,,2023-11-25 09:14:00+00:00,2023-11-29 01:14:00+00:00,1
111,96,Complete,F,2024-10-23 00:13:00+00:00,,2024-10-24 17:28:00+00:00,2024-10-28 06:34:00+00:00,3
113,97,Complete,F,2025-03-13 13:33:00+00:00,,2025-03-14 02:32:00+00:00,2025-03-17 22:07:00+00:00,1
141,121,Complete,F,2024-10-20 11:14:00+00:00,,2024-10-23 04:05:00+00:00,2024-10-26 14:43:00+00:00,1
143,123,Complete,F,2019-09-22 10:29:00+00:00,,2019-09-23 20:27:00+00:00,2019-09-24 20:48:00+00:00,1
146,128,Complete,F,2023-01-20 02:26:00+00:00,,2023-01-22 05:37:00+00:00,2023-01-26 05:34:00+00:00,1
160,139,Complete,F,2024-09-07 18:55:00+00:00,,2024-09-10 14:23:00+00:00,2024-09-13 06:02:00+00:00,1
161,140,Complete,F,2022-06-29 09:29:00+00:00,,2022-07-01 03:07:00+00:00,2022-07-01 18:31:00+00:00,1
163,142,Complete,F,2024-10-08 12:02:00+00:00,,2024-10-09 00:18:00+00:00,2024-10-13 20:52:00+00:00,2
177,155,Complete,F,2025-01-27 11:05:00+00:00,,2025-01-29 05:01:00+00:00,2025-02-01 02:36:00+00:00,2
184,160,Complete,F,2023-11-06 06:21:00+00:00,,2023-11-07 13:45:00+00:00,2023-11-07 17:00:00+00:00,1
199,169,Complete,F,2022-07-29 09:47:00+00:00,,2022-07-31 23:19:00+00:00,2022-08-03 02:58:00+00:00,1
208,174,Complete,F,2023-06-25 01:35:00+00:00,,2023-06-26 10:37:00+00:00,2023-06-26 23:34:00+00:00,1
212,175,Complete,F,2022-06-23 01:53:00+00:00,,2022-06-24 07:06:00+00:00,2022-06-25 10:15:00+00:00,1
216,179,Complete,F,2024-04-13 10:45:00+00:00,,2024-04-13 23:45:00+00:00,2024-04-16 05:02:00+00:00,1
217,179,Complete,F,2025-04-04 10:45:00+00:00,,2025-04-06 04:39:00+00:00,2025-04-08 12:45:00+00:00,1
219,179,Complete,F,2024-06-11 10:45:00+00:00,,2024-06-11 20:05:00+00:00,2024-06-16 08:26:00+00:00,2
246,206,Complete,F,2020-04-28 14:54:00+00:00,,2020-04-30 17:34:00+00:00,2020-05-01 22:59:00+00:00,1
247,206,Complete,F,2024-11-03 14:54:00+00:00,,2024-11-03 17:20:00+00:00,2024-11-05 06:20:00+00:00,1
254,216,Complete,F,2022-10-08 17:49:00+00:00,,2022-10-10 06:25:00+00:00,2022-10-13 12:07:00+00:00,1
